#cluster	node_ID	child_1	child_2	IC	IC_child_1	IC_child_2	Sites	Sites_child_1	Sites_child_2
cluster_1	8	2020-03-04t14-27-25z_m76_kernel_206_number_of_sequence_1982	7	5.66	3.25	5.90	45861	1982	43879
cluster_1	7	2020-03-04t14-27-25z_m216_kernel_583_number_of_sequence_5430	6	5.90	4.45	6.02	43879	5430	38449
cluster_1	6	2020-03-04t14-27-25z_m106_kernel_276_number_of_sequence_6377	5	6.02	5.15	6.28	38449	6377	32072
cluster_1	5	2020-03-04t14-27-25z_m21_kernel_62_number_of_sequence_5151	4	6.28	5.68	6.45	32072	5151	26921
cluster_1	4	2020-03-04t14-27-25z_m243_kernel_668_number_of_sequence_5552	3	6.45	6.12	6.58	26921	5552	21369
cluster_1	3	1	2	6.58	6.39	6.91	21369	11540	9829
cluster_1	2	2020-03-04t14-27-25z_m104_kernel_272_number_of_sequence_4521	2020-03-04t14-27-25z_m259_kernel_701_number_of_sequence_5308	6.91	7.16	6.80	9829	4521	5308
cluster_1	1	2020-03-04t14-27-25z_m10_kernel_25_number_of_sequence_5805	2020-03-04t14-27-25z_m16_kernel_52_number_of_sequence_5735	6.39	6.16	6.69	11540	5805	5735
cluster_10	4	2020-03-04t14-27-25z_m206_kernel_547_number_of_sequence_8723	3	5.48	4.92	6.02	40796	8723	32073
cluster_10	3	2020-03-04t14-27-25z_m163_kernel_438_number_of_sequence_7816	2	6.02	6.05	6.44	32073	7816	24257
cluster_10	2	2020-03-04t14-27-25z_m251_kernel_677_number_of_sequence_7850	1	6.44	6.60	5.96	24257	7850	16407
cluster_10	1	2020-03-04t14-27-25z_m137_kernel_349_number_of_sequence_9664	2020-03-04t14-27-25z_m301_kernel_813_number_of_sequence_6743	5.96	6.07	5.97	16407	9664	6743
cluster_11	2	2020-03-04t14-27-25z_m150_kernel_393_number_of_sequence_5820	1	2.73	3.63	2.97	25440	5820	19620
cluster_11	1	2020-03-04t14-27-25z_m69_kernel_182_number_of_sequence_8597	2020-03-04t14-27-25z_m92_kernel_247_number_of_sequence_11023	2.97	3.32	3.54	19620	8597	11023
cluster_13	4	2020-03-04t14-27-25z_m6_kernel_16_number_of_sequence_7625	3	6.52	10.09	6.61	45588	7625	37963
cluster_13	3	1	2	6.61	6.46	7.97	37963	22021	15942
cluster_13	2	2020-03-04t14-27-25z_m246_kernel_671_number_of_sequence_11218	2020-03-04t14-27-25z_m83_kernel_224_number_of_sequence_4724	7.97	8.97	10.22	15942	11218	4724
cluster_13	1	2020-03-04t14-27-25z_m135_kernel_343_number_of_sequence_13197	2020-03-04t14-27-25z_m77_kernel_207_number_of_sequence_8824	6.46	7.48	6.86	22021	13197	8824
cluster_15	3	1	2	2.83	2.50	4.06	42225	18150	24075
cluster_15	1	2020-03-04t14-27-25z_m128_kernel_332_number_of_sequence_10621	2020-03-04t14-27-25z_m30_kernel_79_number_of_sequence_7529	2.50	3.20	2.44	18150	10621	7529
cluster_15	2	2020-03-04t14-27-25z_m257_kernel_696_number_of_sequence_10264	2020-03-04t14-27-25z_m324_kernel_891_number_of_sequence_13811	4.06	4.21	5.25	24075	10264	13811
cluster_16	1	2020-03-04t14-27-25z_m244_kernel_669_number_of_sequence_6602	2020-03-04t14-27-25z_m290_kernel_783_number_of_sequence_11559	3.44	3.58	2.98	18161	6602	11559
cluster_17	5	2020-03-04t14-27-25z_m158_kernel_424_number_of_sequence_7267	4	2.65	2.68	2.66	41590	7267	34323
cluster_17	4	2	3	2.66	2.55	2.52	34323	21855	12468
cluster_17	2	2020-03-04t14-27-25z_m36_kernel_94_number_of_sequence_6969	1	2.55	3.14	2.88	21855	6969	14886
cluster_17	1	2020-03-04t14-27-25z_m27_kernel_71_number_of_sequence_10569	2020-03-04t14-27-25z_m68_kernel_178_number_of_sequence_4317	2.88	3.04	3.90	14886	10569	4317
cluster_17	3	2020-03-04t14-27-25z_m118_kernel_308_number_of_sequence_7500	2020-03-04t14-27-25z_m313_kernel_847_number_of_sequence_4968	2.52	3.45	2.79	12468	7500	4968
cluster_18	1	2020-03-04t14-27-25z_m261_kernel_705_number_of_sequence_7964	2020-03-04t14-27-25z_m49_kernel_139_number_of_sequence_11588	5.26	4.91	5.58	19552	7964	11588
cluster_19	2	2020-03-04t14-27-25z_m303_kernel_823_number_of_sequence_6664	1	2.66	3.21	2.38	22068	6664	15404
cluster_19	1	2020-03-04t14-27-25z_m50_kernel_140_number_of_sequence_6887	2020-03-04t14-27-25z_m51_kernel_147_number_of_sequence_8517	2.38	2.77	2.99	15404	6887	8517
cluster_2	64	60	63	6.67	4.56	6.45	634012	507367	126645
cluster_2	60	2020-03-04t14-27-25z_m187_kernel_496_number_of_sequence_4461	57	4.56	3.11	4.58	507367	4461	502906
cluster_2	57	45	56	4.58	4.29	4.63	502906	19080	483826
cluster_2	56	53	55	4.63	4.51	4.12	483826	151621	332205
cluster_2	55	36	54	4.12	4.38	4.36	332205	83209	248996
cluster_2	54	47	51	4.36	4.62	3.48	248996	144913	104083
cluster_2	51	22	50	3.48	4.44	3.68	104083	22497	81586
cluster_2	50	2020-03-04t14-27-25z_m173_kernel_463_number_of_sequence_9880	49	3.68	3.52	3.89	81586	9880	71706
cluster_2	49	13	43	3.89	4.02	4.09	71706	14025	57681
cluster_2	43	5	40	4.09	5.37	3.53	57681	28907	28774
cluster_2	40	2020-03-04t14-27-25z_m319_kernel_864_number_of_sequence_11093	39	3.53	4.44	3.29	28774	11093	17681
cluster_2	39	2020-03-04t14-27-25z_m124_kernel_320_number_of_sequence_11465	2020-03-04t14-27-25z_m247_kernel_673_number_of_sequence_6216	3.29	3.17	4.04	17681	11465	6216
cluster_2	5	2020-03-04t14-27-25z_m35_kernel_93_number_of_sequence_6190	2	5.37	5.41	5.44	28907	6190	22717
cluster_2	2	2020-03-04t14-27-25z_m195_kernel_520_number_of_sequence_14102	2020-03-04t14-27-25z_m197_kernel_523_number_of_sequence_8615	5.44	5.66	5.29	22717	14102	8615
cluster_2	13	2020-03-04t14-27-25z_m19_kernel_57_number_of_sequence_9348	2020-03-04t14-27-25z_m255_kernel_687_number_of_sequence_4677	4.02	3.96	4.53	14025	9348	4677
cluster_2	22	2020-03-04t14-27-25z_m114_kernel_300_number_of_sequence_12564	2020-03-04t14-27-25z_m172_kernel_462_number_of_sequence_9933	4.44	4.77	4.38	22497	12564	9933
cluster_2	47	2020-03-04t14-27-25z_m271_kernel_731_number_of_sequence_15587	35	4.62	3.17	4.94	144913	15587	129326
cluster_2	35	2020-03-04t14-27-25z_m294_kernel_797_number_of_sequence_8253	31	4.94	5.88	4.94	129326	8253	121073
cluster_2	31	27	30	4.94	5.21	4.29	121073	99461	21612
cluster_2	27	2020-03-04t14-27-25z_m184_kernel_487_number_of_sequence_3841	19	5.21	5.17	5.27	99461	3841	95620
cluster_2	19	2020-03-04t14-27-25z_m292_kernel_788_number_of_sequence_10857	18	5.27	4.78	5.44	95620	10857	84763
cluster_2	18	2020-03-04t14-27-25z_m141_kernel_356_number_of_sequence_9762	14	5.44	5.95	5.43	84763	9762	75001
cluster_2	14	2020-03-04t14-27-25z_m136_kernel_346_number_of_sequence_12620	10	5.43	4.86	5.65	75001	12620	62381
cluster_2	10	7	9	5.65	5.98	5.59	62381	24194	38187
cluster_2	9	2020-03-04t14-27-25z_m82_kernel_215_number_of_sequence_5877	6	5.59	4.29	5.95	38187	5877	32310
cluster_2	6	2020-03-04t14-27-25z_m64_kernel_174_number_of_sequence_12165	1	5.95	5.41	6.55	32310	12165	20145
cluster_2	1	2020-03-04t14-27-25z_m256_kernel_689_number_of_sequence_7229	2020-03-04t14-27-25z_m26_kernel_70_number_of_sequence_12916	6.55	6.39	6.70	20145	7229	12916
cluster_2	7	2020-03-04t14-27-25z_m48_kernel_138_number_of_sequence_5122	3	5.98	6.46	5.99	24194	5122	19072
cluster_2	3	2020-03-04t14-27-25z_m100_kernel_264_number_of_sequence_10224	2020-03-04t14-27-25z_m123_kernel_319_number_of_sequence_8848	5.99	6.36	5.79	19072	10224	8848
cluster_2	30	2020-03-04t14-27-25z_m151_kernel_398_number_of_sequence_8797	2020-03-04t14-27-25z_m268_kernel_722_number_of_sequence_12815	4.29	4.65	4.48	21612	8797	12815
cluster_2	36	2020-03-04t14-27-25z_m304_kernel_827_number_of_sequence_16150	33	4.38	4.60	4.52	83209	16150	67059
cluster_2	33	12	29	4.52	5.26	4.45	67059	28188	38871
cluster_2	29	2020-03-04t14-27-25z_m262_kernel_707_number_of_sequence_10640	16	4.45	5.02	4.49	38871	10640	28231
cluster_2	16	2020-03-04t14-27-25z_m276_kernel_748_number_of_sequence_11283	15	4.49	4.80	4.58	28231	11283	16948
cluster_2	15	2020-03-04t14-27-25z_m193_kernel_511_number_of_sequence_9016	2020-03-04t14-27-25z_m297_kernel_801_number_of_sequence_7932	4.58	4.73	4.83	16948	9016	7932
