;level	cluster	node
1	2020-03-04t14-27-25z_m247_kernel_673_number_of_sequence_6216,2020-03-04t14-27-25z_m124_kernel_320_number_of_sequence_11465,2020-03-04t14-27-25z_m319_kernel_864_number_of_sequence_11093,2020-03-04t14-27-25z_m35_kernel_93_number_of_sequence_6190,2020-03-04t14-27-25z_m195_kernel_520_number_of_sequence_14102,2020-03-04t14-27-25z_m197_kernel_523_number_of_sequence_8615,2020-03-04t14-27-25z_m19_kernel_57_number_of_sequence_9348,2020-03-04t14-27-25z_m255_kernel_687_number_of_sequence_4677,2020-03-04t14-27-25z_m173_kernel_463_number_of_sequence_9880,2020-03-04t14-27-25z_m172_kernel_462_number_of_sequence_9933,2020-03-04t14-27-25z_m114_kernel_300_number_of_sequence_12564,2020-03-04t14-27-25z_m26_kernel_70_number_of_sequence_12916,2020-03-04t14-27-25z_m256_kernel_689_number_of_sequence_7229,2020-03-04t14-27-25z_m64_kernel_174_number_of_sequence_12165,2020-03-04t14-27-25z_m82_kernel_215_number_of_sequence_5877,2020-03-04t14-27-25z_m123_kernel_319_number_of_sequence_8848,2020-03-04t14-27-25z_m100_kernel_264_number_of_sequence_10224,2020-03-04t14-27-25z_m48_kernel_138_number_of_sequence_5122,2020-03-04t14-27-25z_m136_kernel_346_number_of_sequence_12620,2020-03-04t14-27-25z_m141_kernel_356_number_of_sequence_9762,2020-03-04t14-27-25z_m292_kernel_788_number_of_sequence_10857,2020-03-04t14-27-25z_m184_kernel_487_number_of_sequence_3841,2020-03-04t14-27-25z_m151_kernel_398_number_of_sequence_8797,2020-03-04t14-27-25z_m268_kernel_722_number_of_sequence_12815,2020-03-04t14-27-25z_m294_kernel_797_number_of_sequence_8253,2020-03-04t14-27-25z_m271_kernel_731_number_of_sequence_15587,2020-03-04t14-27-25z_m304_kernel_827_number_of_sequence_16150,2020-03-04t14-27-25z_m276_kernel_748_number_of_sequence_11283,2020-03-04t14-27-25z_m297_kernel_801_number_of_sequence_7932,2020-03-04t14-27-25z_m193_kernel_511_number_of_sequence_9016,2020-03-04t14-27-25z_m262_kernel_707_number_of_sequence_10640,2020-03-04t14-27-25z_m310_kernel_840_number_of_sequence_7648,2020-03-04t14-27-25z_m179_kernel_477_number_of_sequence_8700,2020-03-04t14-27-25z_m153_kernel_402_number_of_sequence_11840,2020-03-04t14-27-25z_m225_kernel_617_number_of_sequence_10758,2020-03-04t14-27-25z_m66_kernel_176_number_of_sequence_6802,2020-03-04t14-27-25z_m267_kernel_720_number_of_sequence_12635,2020-03-04t14-27-25z_m245_kernel_670_number_of_sequence_14644,2020-03-04t14-27-25z_m75_kernel_204_number_of_sequence_10915,2020-03-04t14-27-25z_m176_kernel_467_number_of_sequence_10686,2020-03-04t14-27-25z_m200_kernel_534_number_of_sequence_11602,2020-03-04t14-27-25z_m52_kernel_148_number_of_sequence_13048,2020-03-04t14-27-25z_m148_kernel_384_number_of_sequence_6036,2020-03-04t14-27-25z_m263_kernel_708_number_of_sequence_11226,2020-03-04t14-27-25z_m224_kernel_615_number_of_sequence_7348,2020-03-04t14-27-25z_m161_kernel_433_number_of_sequence_8983,2020-03-04t14-27-25z_m286_kernel_770_number_of_sequence_11475,2020-03-04t14-27-25z_m160_kernel_430_number_of_sequence_9215,2020-03-04t14-27-25z_m101_kernel_265_number_of_sequence_6248,2020-03-04t14-27-25z_m316_kernel_854_number_of_sequence_7331,2020-03-04t14-27-25z_m183_kernel_486_number_of_sequence_11749,2020-03-04t14-27-25z_m187_kernel_496_number_of_sequence_4461,2020-03-04t14-27-25z_m115_kernel_303_number_of_sequence_8613,2020-03-04t14-27-25z_m252_kernel_680_number_of_sequence_7694,2020-03-04t14-27-25z_m238_kernel_644_number_of_sequence_7362,2020-03-04t14-27-25z_m33_kernel_88_number_of_sequence_11530,2020-03-04t14-27-25z_m79_kernel_210_number_of_sequence_11872,2020-03-04t14-27-25z_m2_kernel_5_number_of_sequence_8632,2020-03-04t14-27-25z_m210_kernel_562_number_of_sequence_7574,2020-03-04t14-27-25z_m194_kernel_513_number_of_sequence_11238,2020-03-04t14-27-25z_m154_kernel_405_number_of_sequence_9159,2020-03-04t14-27-25z_m31_kernel_86_number_of_sequence_14821,2020-03-04t14-27-25z_m168_kernel_446_number_of_sequence_7981,2020-03-04t14-27-25z_m293_kernel_790_number_of_sequence_5629,2020-03-04t14-27-25z_m8_kernel_21_number_of_sequence_14540	node_64
2	2020-03-04t14-27-25z_m247_kernel_673_number_of_sequence_6216,2020-03-04t14-27-25z_m124_kernel_320_number_of_sequence_11465,2020-03-04t14-27-25z_m319_kernel_864_number_of_sequence_11093,2020-03-04t14-27-25z_m35_kernel_93_number_of_sequence_6190,2020-03-04t14-27-25z_m195_kernel_520_number_of_sequence_14102,2020-03-04t14-27-25z_m197_kernel_523_number_of_sequence_8615,2020-03-04t14-27-25z_m19_kernel_57_number_of_sequence_9348,2020-03-04t14-27-25z_m255_kernel_687_number_of_sequence_4677,2020-03-04t14-27-25z_m173_kernel_463_number_of_sequence_9880,2020-03-04t14-27-25z_m172_kernel_462_number_of_sequence_9933,2020-03-04t14-27-25z_m114_kernel_300_number_of_sequence_12564,2020-03-04t14-27-25z_m26_kernel_70_number_of_sequence_12916,2020-03-04t14-27-25z_m256_kernel_689_number_of_sequence_7229,2020-03-04t14-27-25z_m64_kernel_174_number_of_sequence_12165,2020-03-04t14-27-25z_m82_kernel_215_number_of_sequence_5877,2020-03-04t14-27-25z_m123_kernel_319_number_of_sequence_8848,2020-03-04t14-27-25z_m100_kernel_264_number_of_sequence_10224,2020-03-04t14-27-25z_m48_kernel_138_number_of_sequence_5122,2020-03-04t14-27-25z_m136_kernel_346_number_of_sequence_12620,2020-03-04t14-27-25z_m141_kernel_356_number_of_sequence_9762,2020-03-04t14-27-25z_m292_kernel_788_number_of_sequence_10857,2020-03-04t14-27-25z_m184_kernel_487_number_of_sequence_3841,2020-03-04t14-27-25z_m151_kernel_398_number_of_sequence_8797,2020-03-04t14-27-25z_m268_kernel_722_number_of_sequence_12815,2020-03-04t14-27-25z_m294_kernel_797_number_of_sequence_8253,2020-03-04t14-27-25z_m271_kernel_731_number_of_sequence_15587,2020-03-04t14-27-25z_m304_kernel_827_number_of_sequence_16150,2020-03-04t14-27-25z_m276_kernel_748_number_of_sequence_11283,2020-03-04t14-27-25z_m297_kernel_801_number_of_sequence_7932,2020-03-04t14-27-25z_m193_kernel_511_number_of_sequence_9016,2020-03-04t14-27-25z_m262_kernel_707_number_of_sequence_10640,2020-03-04t14-27-25z_m310_kernel_840_number_of_sequence_7648,2020-03-04t14-27-25z_m179_kernel_477_number_of_sequence_8700,2020-03-04t14-27-25z_m153_kernel_402_number_of_sequence_11840,2020-03-04t14-27-25z_m225_kernel_617_number_of_sequence_10758,2020-03-04t14-27-25z_m66_kernel_176_number_of_sequence_6802,2020-03-04t14-27-25z_m267_kernel_720_number_of_sequence_12635,2020-03-04t14-27-25z_m245_kernel_670_number_of_sequence_14644,2020-03-04t14-27-25z_m75_kernel_204_number_of_sequence_10915,2020-03-04t14-27-25z_m176_kernel_467_number_of_sequence_10686,2020-03-04t14-27-25z_m200_kernel_534_number_of_sequence_11602,2020-03-04t14-27-25z_m52_kernel_148_number_of_sequence_13048,2020-03-04t14-27-25z_m148_kernel_384_number_of_sequence_6036,2020-03-04t14-27-25z_m263_kernel_708_number_of_sequence_11226,2020-03-04t14-27-25z_m224_kernel_615_number_of_sequence_7348,2020-03-04t14-27-25z_m161_kernel_433_number_of_sequence_8983,2020-03-04t14-27-25z_m286_kernel_770_number_of_sequence_11475,2020-03-04t14-27-25z_m160_kernel_430_number_of_sequence_9215,2020-03-04t14-27-25z_m101_kernel_265_number_of_sequence_6248,2020-03-04t14-27-25z_m316_kernel_854_number_of_sequence_7331,2020-03-04t14-27-25z_m183_kernel_486_number_of_sequence_11749,2020-03-04t14-27-25z_m187_kernel_496_number_of_sequence_4461	node_60
3	2020-03-04t14-27-25z_m247_kernel_673_number_of_sequence_6216,2020-03-04t14-27-25z_m124_kernel_320_number_of_sequence_11465,2020-03-04t14-27-25z_m319_kernel_864_number_of_sequence_11093,2020-03-04t14-27-25z_m35_kernel_93_number_of_sequence_6190,2020-03-04t14-27-25z_m195_kernel_520_number_of_sequence_14102,2020-03-04t14-27-25z_m197_kernel_523_number_of_sequence_8615,2020-03-04t14-27-25z_m19_kernel_57_number_of_sequence_9348,2020-03-04t14-27-25z_m255_kernel_687_number_of_sequence_4677,2020-03-04t14-27-25z_m173_kernel_463_number_of_sequence_9880,2020-03-04t14-27-25z_m172_kernel_462_number_of_sequence_9933,2020-03-04t14-27-25z_m114_kernel_300_number_of_sequence_12564,2020-03-04t14-27-25z_m26_kernel_70_number_of_sequence_12916,2020-03-04t14-27-25z_m256_kernel_689_number_of_sequence_7229,2020-03-04t14-27-25z_m64_kernel_174_number_of_sequence_12165,2020-03-04t14-27-25z_m82_kernel_215_number_of_sequence_5877,2020-03-04t14-27-25z_m123_kernel_319_number_of_sequence_8848,2020-03-04t14-27-25z_m100_kernel_264_number_of_sequence_10224,2020-03-04t14-27-25z_m48_kernel_138_number_of_sequence_5122,2020-03-04t14-27-25z_m136_kernel_346_number_of_sequence_12620,2020-03-04t14-27-25z_m141_kernel_356_number_of_sequence_9762,2020-03-04t14-27-25z_m292_kernel_788_number_of_sequence_10857,2020-03-04t14-27-25z_m184_kernel_487_number_of_sequence_3841,2020-03-04t14-27-25z_m151_kernel_398_number_of_sequence_8797,2020-03-04t14-27-25z_m268_kernel_722_number_of_sequence_12815,2020-03-04t14-27-25z_m294_kernel_797_number_of_sequence_8253,2020-03-04t14-27-25z_m271_kernel_731_number_of_sequence_15587,2020-03-04t14-27-25z_m304_kernel_827_number_of_sequence_16150,2020-03-04t14-27-25z_m276_kernel_748_number_of_sequence_11283,2020-03-04t14-27-25z_m297_kernel_801_number_of_sequence_7932,2020-03-04t14-27-25z_m193_kernel_511_number_of_sequence_9016,2020-03-04t14-27-25z_m262_kernel_707_number_of_sequence_10640,2020-03-04t14-27-25z_m310_kernel_840_number_of_sequence_7648,2020-03-04t14-27-25z_m179_kernel_477_number_of_sequence_8700,2020-03-04t14-27-25z_m153_kernel_402_number_of_sequence_11840,2020-03-04t14-27-25z_m225_kernel_617_number_of_sequence_10758,2020-03-04t14-27-25z_m66_kernel_176_number_of_sequence_6802,2020-03-04t14-27-25z_m267_kernel_720_number_of_sequence_12635,2020-03-04t14-27-25z_m245_kernel_670_number_of_sequence_14644,2020-03-04t14-27-25z_m75_kernel_204_number_of_sequence_10915,2020-03-04t14-27-25z_m176_kernel_467_number_of_sequence_10686,2020-03-04t14-27-25z_m200_kernel_534_number_of_sequence_11602,2020-03-04t14-27-25z_m52_kernel_148_number_of_sequence_13048,2020-03-04t14-27-25z_m148_kernel_384_number_of_sequence_6036,2020-03-04t14-27-25z_m263_kernel_708_number_of_sequence_11226,2020-03-04t14-27-25z_m224_kernel_615_number_of_sequence_7348,2020-03-04t14-27-25z_m161_kernel_433_number_of_sequence_8983,2020-03-04t14-27-25z_m286_kernel_770_number_of_sequence_11475,2020-03-04t14-27-25z_m160_kernel_430_number_of_sequence_9215,2020-03-04t14-27-25z_m101_kernel_265_number_of_sequence_6248,2020-03-04t14-27-25z_m316_kernel_854_number_of_sequence_7331,2020-03-04t14-27-25z_m183_kernel_486_number_of_sequence_11749	node_57
4	2020-03-04t14-27-25z_m247_kernel_673_number_of_sequence_6216,2020-03-04t14-27-25z_m124_kernel_320_number_of_sequence_11465,2020-03-04t14-27-25z_m319_kernel_864_number_of_sequence_11093,2020-03-04t14-27-25z_m35_kernel_93_number_of_sequence_6190,2020-03-04t14-27-25z_m195_kernel_520_number_of_sequence_14102,2020-03-04t14-27-25z_m197_kernel_523_number_of_sequence_8615,2020-03-04t14-27-25z_m19_kernel_57_number_of_sequence_9348,2020-03-04t14-27-25z_m255_kernel_687_number_of_sequence_4677,2020-03-04t14-27-25z_m173_kernel_463_number_of_sequence_9880,2020-03-04t14-27-25z_m172_kernel_462_number_of_sequence_9933,2020-03-04t14-27-25z_m114_kernel_300_number_of_sequence_12564,2020-03-04t14-27-25z_m26_kernel_70_number_of_sequence_12916,2020-03-04t14-27-25z_m256_kernel_689_number_of_sequence_7229,2020-03-04t14-27-25z_m64_kernel_174_number_of_sequence_12165,2020-03-04t14-27-25z_m82_kernel_215_number_of_sequence_5877,2020-03-04t14-27-25z_m123_kernel_319_number_of_sequence_8848,2020-03-04t14-27-25z_m100_kernel_264_number_of_sequence_10224,2020-03-04t14-27-25z_m48_kernel_138_number_of_sequence_5122,2020-03-04t14-27-25z_m136_kernel_346_number_of_sequence_12620,2020-03-04t14-27-25z_m141_kernel_356_number_of_sequence_9762,2020-03-04t14-27-25z_m292_kernel_788_number_of_sequence_10857,2020-03-04t14-27-25z_m184_kernel_487_number_of_sequence_3841,2020-03-04t14-27-25z_m151_kernel_398_number_of_sequence_8797,2020-03-04t14-27-25z_m268_kernel_722_number_of_sequence_12815,2020-03-04t14-27-25z_m294_kernel_797_number_of_sequence_8253,2020-03-04t14-27-25z_m271_kernel_731_number_of_sequence_15587,2020-03-04t14-27-25z_m304_kernel_827_number_of_sequence_16150,2020-03-04t14-27-25z_m276_kernel_748_number_of_sequence_11283,2020-03-04t14-27-25z_m297_kernel_801_number_of_sequence_7932,2020-03-04t14-27-25z_m193_kernel_511_number_of_sequence_9016,2020-03-04t14-27-25z_m262_kernel_707_number_of_sequence_10640,2020-03-04t14-27-25z_m310_kernel_840_number_of_sequence_7648,2020-03-04t14-27-25z_m179_kernel_477_number_of_sequence_8700,2020-03-04t14-27-25z_m153_kernel_402_number_of_sequence_11840,2020-03-04t14-27-25z_m225_kernel_617_number_of_sequence_10758,2020-03-04t14-27-25z_m66_kernel_176_number_of_sequence_6802,2020-03-04t14-27-25z_m267_kernel_720_number_of_sequence_12635,2020-03-04t14-27-25z_m245_kernel_670_number_of_sequence_14644,2020-03-04t14-27-25z_m75_kernel_204_number_of_sequence_10915,2020-03-04t14-27-25z_m176_kernel_467_number_of_sequence_10686,2020-03-04t14-27-25z_m200_kernel_534_number_of_sequence_11602,2020-03-04t14-27-25z_m52_kernel_148_number_of_sequence_13048,2020-03-04t14-27-25z_m148_kernel_384_number_of_sequence_6036,2020-03-04t14-27-25z_m263_kernel_708_number_of_sequence_11226,2020-03-04t14-27-25z_m224_kernel_615_number_of_sequence_7348,2020-03-04t14-27-25z_m161_kernel_433_number_of_sequence_8983,2020-03-04t14-27-25z_m286_kernel_770_number_of_sequence_11475,2020-03-04t14-27-25z_m160_kernel_430_number_of_sequence_9215,2020-03-04t14-27-25z_m101_kernel_265_number_of_sequence_6248	node_56
5	2020-03-04t14-27-25z_m247_kernel_673_number_of_sequence_6216,2020-03-04t14-27-25z_m124_kernel_320_number_of_sequence_11465,2020-03-04t14-27-25z_m319_kernel_864_number_of_sequence_11093,2020-03-04t14-27-25z_m35_kernel_93_number_of_sequence_6190,2020-03-04t14-27-25z_m195_kernel_520_number_of_sequence_14102,2020-03-04t14-27-25z_m197_kernel_523_number_of_sequence_8615,2020-03-04t14-27-25z_m19_kernel_57_number_of_sequence_9348,2020-03-04t14-27-25z_m255_kernel_687_number_of_sequence_4677,2020-03-04t14-27-25z_m173_kernel_463_number_of_sequence_9880,2020-03-04t14-27-25z_m172_kernel_462_number_of_sequence_9933,2020-03-04t14-27-25z_m114_kernel_300_number_of_sequence_12564,2020-03-04t14-27-25z_m26_kernel_70_number_of_sequence_12916,2020-03-04t14-27-25z_m256_kernel_689_number_of_sequence_7229,2020-03-04t14-27-25z_m64_kernel_174_number_of_sequence_12165,2020-03-04t14-27-25z_m82_kernel_215_number_of_sequence_5877,2020-03-04t14-27-25z_m123_kernel_319_number_of_sequence_8848,2020-03-04t14-27-25z_m100_kernel_264_number_of_sequence_10224,2020-03-04t14-27-25z_m48_kernel_138_number_of_sequence_5122,2020-03-04t14-27-25z_m136_kernel_346_number_of_sequence_12620,2020-03-04t14-27-25z_m141_kernel_356_number_of_sequence_9762,2020-03-04t14-27-25z_m292_kernel_788_number_of_sequence_10857,2020-03-04t14-27-25z_m184_kernel_487_number_of_sequence_3841,2020-03-04t14-27-25z_m151_kernel_398_number_of_sequence_8797,2020-03-04t14-27-25z_m268_kernel_722_number_of_sequence_12815,2020-03-04t14-27-25z_m294_kernel_797_number_of_sequence_8253,2020-03-04t14-27-25z_m271_kernel_731_number_of_sequence_15587,2020-03-04t14-27-25z_m304_kernel_827_number_of_sequence_16150,2020-03-04t14-27-25z_m276_kernel_748_number_of_sequence_11283,2020-03-04t14-27-25z_m297_kernel_801_number_of_sequence_7932,2020-03-04t14-27-25z_m193_kernel_511_number_of_sequence_9016,2020-03-04t14-27-25z_m262_kernel_707_number_of_sequence_10640,2020-03-04t14-27-25z_m310_kernel_840_number_of_sequence_7648,2020-03-04t14-27-25z_m179_kernel_477_number_of_sequence_8700,2020-03-04t14-27-25z_m153_kernel_402_number_of_sequence_11840	node_55
6	2020-03-04t14-27-25z_m247_kernel_673_number_of_sequence_6216,2020-03-04t14-27-25z_m124_kernel_320_number_of_sequence_11465,2020-03-04t14-27-25z_m319_kernel_864_number_of_sequence_11093,2020-03-04t14-27-25z_m35_kernel_93_number_of_sequence_6190,2020-03-04t14-27-25z_m195_kernel_520_number_of_sequence_14102,2020-03-04t14-27-25z_m197_kernel_523_number_of_sequence_8615,2020-03-04t14-27-25z_m19_kernel_57_number_of_sequence_9348,2020-03-04t14-27-25z_m255_kernel_687_number_of_sequence_4677,2020-03-04t14-27-25z_m173_kernel_463_number_of_sequence_9880,2020-03-04t14-27-25z_m172_kernel_462_number_of_sequence_9933,2020-03-04t14-27-25z_m114_kernel_300_number_of_sequence_12564,2020-03-04t14-27-25z_m26_kernel_70_number_of_sequence_12916,2020-03-04t14-27-25z_m256_kernel_689_number_of_sequence_7229,2020-03-04t14-27-25z_m64_kernel_174_number_of_sequence_12165,2020-03-04t14-27-25z_m82_kernel_215_number_of_sequence_5877,2020-03-04t14-27-25z_m123_kernel_319_number_of_sequence_8848,2020-03-04t14-27-25z_m100_kernel_264_number_of_sequence_10224,2020-03-04t14-27-25z_m48_kernel_138_number_of_sequence_5122,2020-03-04t14-27-25z_m136_kernel_346_number_of_sequence_12620,2020-03-04t14-27-25z_m141_kernel_356_number_of_sequence_9762,2020-03-04t14-27-25z_m292_kernel_788_number_of_sequence_10857,2020-03-04t14-27-25z_m184_kernel_487_number_of_sequence_3841,2020-03-04t14-27-25z_m151_kernel_398_number_of_sequence_8797,2020-03-04t14-27-25z_m268_kernel_722_number_of_sequence_12815,2020-03-04t14-27-25z_m294_kernel_797_number_of_sequence_8253,2020-03-04t14-27-25z_m271_kernel_731_number_of_sequence_15587	node_54
7	2020-03-04t14-27-25z_m247_kernel_673_number_of_sequence_6216,2020-03-04t14-27-25z_m124_kernel_320_number_of_sequence_11465,2020-03-04t14-27-25z_m319_kernel_864_number_of_sequence_11093,2020-03-04t14-27-25z_m35_kernel_93_number_of_sequence_6190,2020-03-04t14-27-25z_m195_kernel_520_number_of_sequence_14102,2020-03-04t14-27-25z_m197_kernel_523_number_of_sequence_8615,2020-03-04t14-27-25z_m19_kernel_57_number_of_sequence_9348,2020-03-04t14-27-25z_m255_kernel_687_number_of_sequence_4677,2020-03-04t14-27-25z_m173_kernel_463_number_of_sequence_9880,2020-03-04t14-27-25z_m172_kernel_462_number_of_sequence_9933,2020-03-04t14-27-25z_m114_kernel_300_number_of_sequence_12564	node_51
8	2020-03-04t14-27-25z_m247_kernel_673_number_of_sequence_6216,2020-03-04t14-27-25z_m124_kernel_320_number_of_sequence_11465,2020-03-04t14-27-25z_m319_kernel_864_number_of_sequence_11093,2020-03-04t14-27-25z_m35_kernel_93_number_of_sequence_6190,2020-03-04t14-27-25z_m195_kernel_520_number_of_sequence_14102,2020-03-04t14-27-25z_m197_kernel_523_number_of_sequence_8615,2020-03-04t14-27-25z_m19_kernel_57_number_of_sequence_9348,2020-03-04t14-27-25z_m255_kernel_687_number_of_sequence_4677,2020-03-04t14-27-25z_m173_kernel_463_number_of_sequence_9880	node_50
9	2020-03-04t14-27-25z_m247_kernel_673_number_of_sequence_6216,2020-03-04t14-27-25z_m124_kernel_320_number_of_sequence_11465,2020-03-04t14-27-25z_m319_kernel_864_number_of_sequence_11093,2020-03-04t14-27-25z_m35_kernel_93_number_of_sequence_6190,2020-03-04t14-27-25z_m195_kernel_520_number_of_sequence_14102,2020-03-04t14-27-25z_m197_kernel_523_number_of_sequence_8615,2020-03-04t14-27-25z_m19_kernel_57_number_of_sequence_9348,2020-03-04t14-27-25z_m255_kernel_687_number_of_sequence_4677	node_49
10	2020-03-04t14-27-25z_m247_kernel_673_number_of_sequence_6216,2020-03-04t14-27-25z_m124_kernel_320_number_of_sequence_11465,2020-03-04t14-27-25z_m319_kernel_864_number_of_sequence_11093,2020-03-04t14-27-25z_m35_kernel_93_number_of_sequence_6190,2020-03-04t14-27-25z_m195_kernel_520_number_of_sequence_14102,2020-03-04t14-27-25z_m197_kernel_523_number_of_sequence_8615	node_43
11	2020-03-04t14-27-25z_m247_kernel_673_number_of_sequence_6216,2020-03-04t14-27-25z_m124_kernel_320_number_of_sequence_11465,2020-03-04t14-27-25z_m319_kernel_864_number_of_sequence_11093	node_40
12	2020-03-04t14-27-25z_m247_kernel_673_number_of_sequence_6216,2020-03-04t14-27-25z_m124_kernel_320_number_of_sequence_11465	node_39
13	2020-03-04t14-27-25z_m35_kernel_93_number_of_sequence_6190,2020-03-04t14-27-25z_m195_kernel_520_number_of_sequence_14102,2020-03-04t14-27-25z_m197_kernel_523_number_of_sequence_8615	node_5
14	2020-03-04t14-27-25z_m195_kernel_520_number_of_sequence_14102,2020-03-04t14-27-25z_m197_kernel_523_number_of_sequence_8615	node_2
15	2020-03-04t14-27-25z_m19_kernel_57_number_of_sequence_9348,2020-03-04t14-27-25z_m255_kernel_687_number_of_sequence_4677	node_13
16	2020-03-04t14-27-25z_m172_kernel_462_number_of_sequence_9933,2020-03-04t14-27-25z_m114_kernel_300_number_of_sequence_12564	node_22
17	2020-03-04t14-27-25z_m26_kernel_70_number_of_sequence_12916,2020-03-04t14-27-25z_m256_kernel_689_number_of_sequence_7229,2020-03-04t14-27-25z_m64_kernel_174_number_of_sequence_12165,2020-03-04t14-27-25z_m82_kernel_215_number_of_sequence_5877,2020-03-04t14-27-25z_m123_kernel_319_number_of_sequence_8848,2020-03-04t14-27-25z_m100_kernel_264_number_of_sequence_10224,2020-03-04t14-27-25z_m48_kernel_138_number_of_sequence_5122,2020-03-04t14-27-25z_m136_kernel_346_number_of_sequence_12620,2020-03-04t14-27-25z_m141_kernel_356_number_of_sequence_9762,2020-03-04t14-27-25z_m292_kernel_788_number_of_sequence_10857,2020-03-04t14-27-25z_m184_kernel_487_number_of_sequence_3841,2020-03-04t14-27-25z_m151_kernel_398_number_of_sequence_8797,2020-03-04t14-27-25z_m268_kernel_722_number_of_sequence_12815,2020-03-04t14-27-25z_m294_kernel_797_number_of_sequence_8253,2020-03-04t14-27-25z_m271_kernel_731_number_of_sequence_15587	node_47
18	2020-03-04t14-27-25z_m26_kernel_70_number_of_sequence_12916,2020-03-04t14-27-25z_m256_kernel_689_number_of_sequence_7229,2020-03-04t14-27-25z_m64_kernel_174_number_of_sequence_12165,2020-03-04t14-27-25z_m82_kernel_215_number_of_sequence_5877,2020-03-04t14-27-25z_m123_kernel_319_number_of_sequence_8848,2020-03-04t14-27-25z_m100_kernel_264_number_of_sequence_10224,2020-03-04t14-27-25z_m48_kernel_138_number_of_sequence_5122,2020-03-04t14-27-25z_m136_kernel_346_number_of_sequence_12620,2020-03-04t14-27-25z_m141_kernel_356_number_of_sequence_9762,2020-03-04t14-27-25z_m292_kernel_788_number_of_sequence_10857,2020-03-04t14-27-25z_m184_kernel_487_number_of_sequence_3841,2020-03-04t14-27-25z_m151_kernel_398_number_of_sequence_8797,2020-03-04t14-27-25z_m268_kernel_722_number_of_sequence_12815,2020-03-04t14-27-25z_m294_kernel_797_number_of_sequence_8253	node_35
19	2020-03-04t14-27-25z_m26_kernel_70_number_of_sequence_12916,2020-03-04t14-27-25z_m256_kernel_689_number_of_sequence_7229,2020-03-04t14-27-25z_m64_kernel_174_number_of_sequence_12165,2020-03-04t14-27-25z_m82_kernel_215_number_of_sequence_5877,2020-03-04t14-27-25z_m123_kernel_319_number_of_sequence_8848,2020-03-04t14-27-25z_m100_kernel_264_number_of_sequence_10224,2020-03-04t14-27-25z_m48_kernel_138_number_of_sequence_5122,2020-03-04t14-27-25z_m136_kernel_346_number_of_sequence_12620,2020-03-04t14-27-25z_m141_kernel_356_number_of_sequence_9762,2020-03-04t14-27-25z_m292_kernel_788_number_of_sequence_10857,2020-03-04t14-27-25z_m184_kernel_487_number_of_sequence_3841,2020-03-04t14-27-25z_m151_kernel_398_number_of_sequence_8797,2020-03-04t14-27-25z_m268_kernel_722_number_of_sequence_12815	node_31
20	2020-03-04t14-27-25z_m26_kernel_70_number_of_sequence_12916,2020-03-04t14-27-25z_m256_kernel_689_number_of_sequence_7229,2020-03-04t14-27-25z_m64_kernel_174_number_of_sequence_12165,2020-03-04t14-27-25z_m82_kernel_215_number_of_sequence_5877,2020-03-04t14-27-25z_m123_kernel_319_number_of_sequence_8848,2020-03-04t14-27-25z_m100_kernel_264_number_of_sequence_10224,2020-03-04t14-27-25z_m48_kernel_138_number_of_sequence_5122,2020-03-04t14-27-25z_m136_kernel_346_number_of_sequence_12620,2020-03-04t14-27-25z_m141_kernel_356_number_of_sequence_9762,2020-03-04t14-27-25z_m292_kernel_788_number_of_sequence_10857,2020-03-04t14-27-25z_m184_kernel_487_number_of_sequence_3841	node_27
21	2020-03-04t14-27-25z_m26_kernel_70_number_of_sequence_12916,2020-03-04t14-27-25z_m256_kernel_689_number_of_sequence_7229,2020-03-04t14-27-25z_m64_kernel_174_number_of_sequence_12165,2020-03-04t14-27-25z_m82_kernel_215_number_of_sequence_5877,2020-03-04t14-27-25z_m123_kernel_319_number_of_sequence_8848,2020-03-04t14-27-25z_m100_kernel_264_number_of_sequence_10224,2020-03-04t14-27-25z_m48_kernel_138_number_of_sequence_5122,2020-03-04t14-27-25z_m136_kernel_346_number_of_sequence_12620,2020-03-04t14-27-25z_m141_kernel_356_number_of_sequence_9762,2020-03-04t14-27-25z_m292_kernel_788_number_of_sequence_10857	node_19
22	2020-03-04t14-27-25z_m26_kernel_70_number_of_sequence_12916,2020-03-04t14-27-25z_m256_kernel_689_number_of_sequence_7229,2020-03-04t14-27-25z_m64_kernel_174_number_of_sequence_12165,2020-03-04t14-27-25z_m82_kernel_215_number_of_sequence_5877,2020-03-04t14-27-25z_m123_kernel_319_number_of_sequence_8848,2020-03-04t14-27-25z_m100_kernel_264_number_of_sequence_10224,2020-03-04t14-27-25z_m48_kernel_138_number_of_sequence_5122,2020-03-04t14-27-25z_m136_kernel_346_number_of_sequence_12620,2020-03-04t14-27-25z_m141_kernel_356_number_of_sequence_9762	node_18
