merged_ID	child_1	child_2
node_1	2020-03-04t14-27-25z_m126_kernel_329_number_of_sequence_7530	2020-03-04t14-27-25z_m164_kernel_439_number_of_sequence_10400
node_2	2020-03-04t14-27-25z_m181_kernel_480_number_of_sequence_8643	2020-03-04t14-27-25z_m220_kernel_600_number_of_sequence_9528
node_3	2020-03-04t14-27-25z_m59_kernel_166_number_of_sequence_8964	node_2
node_4	2020-03-04t14-27-25z_m231_kernel_629_number_of_sequence_10591	2020-03-04t14-27-25z_m278_kernel_751_number_of_sequence_3530
node_5	2020-03-04t14-27-25z_m305_kernel_830_number_of_sequence_14608	node_4
node_6	2020-03-04t14-27-25z_m116_kernel_305_number_of_sequence_6548	node_3
node_7	2020-03-04t14-27-25z_m171_kernel_456_number_of_sequence_14636	node_1
node_8	2020-03-04t14-27-25z_m270_kernel_727_number_of_sequence_4725	2020-03-04t14-27-25z_m74_kernel_203_number_of_sequence_7400
node_9	2020-03-04t14-27-25z_m191_kernel_507_number_of_sequence_12697	node_8
node_10	2020-03-04t14-27-25z_m43_kernel_111_number_of_sequence_10005	node_6
node_11	node_5	node_10
node_12	node_7	node_11
node_13	node_9	node_12
node_14	2020-03-04t14-27-25z_m110_kernel_284_number_of_sequence_14441	node_13
node_15	2020-03-04t14-27-25z_m209_kernel_555_number_of_sequence_12332	node_14
node_16	2020-03-04t14-27-25z_m253_kernel_683_number_of_sequence_8235	2020-03-04t14-27-25z_m318_kernel_859_number_of_sequence_7344
node_17	2020-03-04t14-27-25z_m55_kernel_153_number_of_sequence_6756	node_15
node_18	node_16	node_17
