;Cluster_ID	Number_of_Motifs	2020-03-04t14-27-25z
cluster_1	9	9
cluster_2	65	65
cluster_3	19	19
cluster_4	2	2
cluster_5	20	20
cluster_6	3	3
cluster_7	5	5
cluster_8	4	4
cluster_9	2	2
cluster_10	5	5
cluster_11	3	3
cluster_12	1	1
cluster_13	5	5
cluster_14	1	1
cluster_15	4	4
cluster_16	2	2
cluster_17	6	6
cluster_18	2	2
cluster_19	3	3
cluster_20	2	2
cluster_21	2	2
cluster_22	1	1
cluster_23	1	1
cluster_24	2	2
cluster_25	1	1
cluster_26	1	1
cluster_27	2	2
cluster_28	2	2
cluster_29	2	2
cluster_30	2	2
cluster_31	1	1
cluster_32	1	1
cluster_33	1	1
cluster_34	2	2
cluster_35	1	1
cluster_36	1	1
cluster_37	1	1
cluster_38	1	1
cluster_39	1	1
cluster_40	1	1
cluster_41	2	2
cluster_42	2	2
cluster_43	2	2
cluster_44	1	1
cluster_45	1	1
cluster_46	1	1
cluster_47	1	1
cluster_48	1	1
cluster_49	1	1
cluster_50	1	1
cluster_51	2	2
cluster_52	1	1
cluster_53	1	1
cluster_54	1	1
cluster_55	1	1
cluster_56	2	2
cluster_57	2	2
cluster_58	1	1
cluster_59	2	2
cluster_60	1	1
cluster_61	1	1
cluster_62	2	2
cluster_63	2	2
cluster_64	2	2
cluster_65	1	1
cluster_66	1	1
cluster_67	1	1
cluster_68	1	1
cluster_69	1	1
cluster_70	1	1
cluster_71	1	1
cluster_72	1	1
cluster_73	1	1
cluster_74	2	2
cluster_75	1	1
cluster_76	1	1
cluster_77	1	1
cluster_78	1	1
cluster_79	1	1
cluster_80	1	1
cluster_81	1	1
cluster_82	1	1
cluster_83	1	1
cluster_84	1	1
cluster_85	1	1
cluster_86	1	1
cluster_87	2	2
cluster_88	1	1
cluster_89	1	1
cluster_90	1	1
cluster_91	2	2
cluster_92	1	1
cluster_93	1	1
cluster_94	1	1
cluster_95	1	1
cluster_96	1	1
cluster_97	1	1
cluster_98	1	1
cluster_99	1	1
cluster_100	1	1
cluster_101	1	1
cluster_102	1	1
cluster_103	1	1
cluster_104	1	1
cluster_105	1	1
cluster_106	1	1
cluster_107	1	1
cluster_108	1	1
cluster_109	1	1
cluster_110	1	1
cluster_111	1	1
cluster_112	1	1
cluster_113	1	1
cluster_114	1	1
cluster_115	1	1
cluster_116	1	1
cluster_117	1	1
cluster_118	1	1
cluster_119	1	1
cluster_120	1	1
cluster_121	1	1
cluster_122	1	1
cluster_123	1	1
cluster_124	1	1
cluster_125	1	1
cluster_126	1	1
cluster_127	1	1
cluster_128	1	1
cluster_129	1	1
cluster_130	1	1
cluster_131	1	1
cluster_132	1	1
cluster_133	1	1
cluster_134	1	1
cluster_135	1	1
cluster_136	1	1
cluster_137	1	1
cluster_138	1	1
cluster_139	1	1
cluster_140	1	1
cluster_141	1	1
cluster_142	1	1
cluster_143	1	1
cluster_144	1	1
cluster_145	1	1
cluster_146	1	1
cluster_147	1	1
cluster_148	1	1
cluster_149	1	1
cluster_150	1	1
cluster_151	1	1
cluster_152	1	1
cluster_153	1	1
cluster_154	1	1
cluster_155	1	1
cluster_156	1	1
cluster_157	1	1
cluster_158	1	1
cluster_159	1	1
cluster_160	1	1
cluster_161	1	1
cluster_162	1	1
cluster_163	1	1
