Sequence ID	Score
BG4_G4Seq_HaCaT_GSE76688_peak1	0.1427354
BG4_G4Seq_HaCaT_GSE76688_peak2	0.9140412
BG4_G4Seq_HaCaT_GSE76688_peak3	0.84862155
BG4_G4Seq_HaCaT_GSE76688_peak4	0.8863887
BG4_G4Seq_HaCaT_GSE76688_peak5	0.82411134
BG4_G4Seq_HaCaT_GSE76688_peak6	0.998185
BG4_G4Seq_HaCaT_GSE76688_peak7	0.89343005
BG4_G4Seq_HaCaT_GSE76688_peak8	0.9763609
BG4_G4Seq_HaCaT_GSE76688_peak9	0.7703262
BG4_G4Seq_HaCaT_GSE76688_peak10	0.9528293
BG4_G4Seq_HaCaT_GSE76688_peak11	0.9918222
BG4_G4Seq_HaCaT_GSE76688_peak12	0.15473078
BG4_G4Seq_HaCaT_GSE76688_peak13	0.09089461
BG4_G4Seq_HaCaT_GSE76688_peak14	0.7322466
BG4_G4Seq_HaCaT_GSE76688_peak15	0.9602307
BG4_G4Seq_HaCaT_GSE76688_peak16	0.87529355
BG4_G4Seq_HaCaT_GSE76688_peak17	0.38704768
BG4_G4Seq_HaCaT_GSE76688_peak18	0.15491617
BG4_G4Seq_HaCaT_GSE76688_peak19	0.27619502
BG4_G4Seq_HaCaT_GSE76688_peak20	0.9573394
BG4_G4Seq_HaCaT_GSE76688_peak21	0.10108986
BG4_G4Seq_HaCaT_GSE76688_peak22	0.9980367
BG4_G4Seq_HaCaT_GSE76688_peak23	0.9535981
BG4_G4Seq_HaCaT_GSE76688_peak24	0.84531856
BG4_G4Seq_HaCaT_GSE76688_peak25	0.6771524
BG4_G4Seq_HaCaT_GSE76688_peak26	0.88724774
BG4_G4Seq_HaCaT_GSE76688_peak27	0.034664907
BG4_G4Seq_HaCaT_GSE76688_peak28	0.81862456
BG4_G4Seq_HaCaT_GSE76688_peak29	0.7799591
BG4_G4Seq_HaCaT_GSE76688_peak30	0.071688056
BG4_G4Seq_HaCaT_GSE76688_peak31	0.34332106
BG4_G4Seq_HaCaT_GSE76688_peak32	0.9306585
BG4_G4Seq_HaCaT_GSE76688_peak33	0.9322277
BG4_G4Seq_HaCaT_GSE76688_peak34	0.86567384
BG4_G4Seq_HaCaT_GSE76688_peak35	0.8895393
BG4_G4Seq_HaCaT_GSE76688_peak36	0.75696695
BG4_G4Seq_HaCaT_GSE76688_peak37	0.1337707
BG4_G4Seq_HaCaT_GSE76688_peak38	0.36144447
BG4_G4Seq_HaCaT_GSE76688_peak39	0.69874436
BG4_G4Seq_HaCaT_GSE76688_peak40	0.5246709
BG4_G4Seq_HaCaT_GSE76688_peak41	0.94935197
BG4_G4Seq_HaCaT_GSE76688_peak42	0.9043634
BG4_G4Seq_HaCaT_GSE76688_peak43	0.5845909
BG4_G4Seq_HaCaT_GSE76688_peak44	0.1824753
BG4_G4Seq_HaCaT_GSE76688_peak45	0.27947503
BG4_G4Seq_HaCaT_GSE76688_peak46	0.17653316
BG4_G4Seq_HaCaT_GSE76688_peak47	0.7624288
BG4_G4Seq_HaCaT_GSE76688_peak48	0.01731087
BG4_G4Seq_HaCaT_GSE76688_peak49	0.44042882
BG4_G4Seq_HaCaT_GSE76688_peak50	0.99394315
BG4_G4Seq_HaCaT_GSE76688_peak51	0.9333911
BG4_G4Seq_HaCaT_GSE76688_peak52	0.16403732
BG4_G4Seq_HaCaT_GSE76688_peak53	0.57577646
BG4_G4Seq_HaCaT_GSE76688_peak54	0.28705767
BG4_G4Seq_HaCaT_GSE76688_peak55	0.36366904
BG4_G4Seq_HaCaT_GSE76688_peak56	0.9018041
BG4_G4Seq_HaCaT_GSE76688_peak57	0.0017416162
BG4_G4Seq_HaCaT_GSE76688_peak58	0.49181587
BG4_G4Seq_HaCaT_GSE76688_peak59	0.28294504
BG4_G4Seq_HaCaT_GSE76688_peak60	0.96520007
BG4_G4Seq_HaCaT_GSE76688_peak61	0.0001460087
BG4_G4Seq_HaCaT_GSE76688_peak62	0.9477972
BG4_G4Seq_HaCaT_GSE76688_peak63	0.0035269845
BG4_G4Seq_HaCaT_GSE76688_peak64	0.753178
BG4_G4Seq_HaCaT_GSE76688_peak65	0.56901234
BG4_G4Seq_HaCaT_GSE76688_peak66	0.65940285
BG4_G4Seq_HaCaT_GSE76688_peak67	0.07270756
BG4_G4Seq_HaCaT_GSE76688_peak68	0.97928107
BG4_G4Seq_HaCaT_GSE76688_peak69	0.45783898
BG4_G4Seq_HaCaT_GSE76688_peak70	0.12599446
BG4_G4Seq_HaCaT_GSE76688_peak71	0.0022189557
BG4_G4Seq_HaCaT_GSE76688_peak72	0.5083154
BG4_G4Seq_HaCaT_GSE76688_peak73	0.8064155
BG4_G4Seq_HaCaT_GSE76688_peak74	0.84295774
BG4_G4Seq_HaCaT_GSE76688_peak75	0.19888432
BG4_G4Seq_HaCaT_GSE76688_peak76	0.8952835
BG4_G4Seq_HaCaT_GSE76688_peak77	0.8619178
BG4_G4Seq_HaCaT_GSE76688_peak78	0.6239134
BG4_G4Seq_HaCaT_GSE76688_peak79	0.06654082
BG4_G4Seq_HaCaT_GSE76688_peak80	0.29779154
BG4_G4Seq_HaCaT_GSE76688_peak81	0.034822278
BG4_G4Seq_HaCaT_GSE76688_peak82	0.94464326
BG4_G4Seq_HaCaT_GSE76688_peak83	0.52759445
BG4_G4Seq_HaCaT_GSE76688_peak84	0.23077588
BG4_G4Seq_HaCaT_GSE76688_peak85	0.059167106
BG4_G4Seq_HaCaT_GSE76688_peak86	0.05192803
BG4_G4Seq_HaCaT_GSE76688_peak87	0.68111366
BG4_G4Seq_HaCaT_GSE76688_peak88	0.99526274
BG4_G4Seq_HaCaT_GSE76688_peak89	0.4711454
BG4_G4Seq_HaCaT_GSE76688_peak90	0.1609883
BG4_G4Seq_HaCaT_GSE76688_peak91	0.761792
BG4_G4Seq_HaCaT_GSE76688_peak92	0.9014964
BG4_G4Seq_HaCaT_GSE76688_peak93	0.79746157
BG4_G4Seq_HaCaT_GSE76688_peak94	0.9928994
BG4_G4Seq_HaCaT_GSE76688_peak95	0.18242584
BG4_G4Seq_HaCaT_GSE76688_peak96	0.66509
BG4_G4Seq_HaCaT_GSE76688_peak97	0.6232548
BG4_G4Seq_HaCaT_GSE76688_peak98	0.5770596
BG4_G4Seq_HaCaT_GSE76688_peak99	0.8976278
BG4_G4Seq_HaCaT_GSE76688_peak100	0.7292823
BG4_G4Seq_HaCaT_GSE76688_peak101	0.96276796
BG4_G4Seq_HaCaT_GSE76688_peak102	0.8493748
BG4_G4Seq_HaCaT_GSE76688_peak103	0.53601754
BG4_G4Seq_HaCaT_GSE76688_peak104	0.5699378
BG4_G4Seq_HaCaT_GSE76688_peak105	0.12177921
BG4_G4Seq_HaCaT_GSE76688_peak106	0.2994974
BG4_G4Seq_HaCaT_GSE76688_peak107	0.52676654
BG4_G4Seq_HaCaT_GSE76688_peak108	0.57165223
BG4_G4Seq_HaCaT_GSE76688_peak109	0.87880695
BG4_G4Seq_HaCaT_GSE76688_peak110	0.97480834
BG4_G4Seq_HaCaT_GSE76688_peak111	0.77903366
BG4_G4Seq_HaCaT_GSE76688_peak112	0.9054861
BG4_G4Seq_HaCaT_GSE76688_peak113	0.59582084
BG4_G4Seq_HaCaT_GSE76688_peak114	0.7715357
BG4_G4Seq_HaCaT_GSE76688_peak115	0.82766825
BG4_G4Seq_HaCaT_GSE76688_peak116	0.9075084
BG4_G4Seq_HaCaT_GSE76688_peak117	0.69409925
BG4_G4Seq_HaCaT_GSE76688_peak118	0.5994824
BG4_G4Seq_HaCaT_GSE76688_peak119	0.9945005
BG4_G4Seq_HaCaT_GSE76688_peak120	0.819434
BG4_G4Seq_HaCaT_GSE76688_peak121	0.86116976
BG4_G4Seq_HaCaT_GSE76688_peak122	0.36236307
BG4_G4Seq_HaCaT_GSE76688_peak123	0.8901106
BG4_G4Seq_HaCaT_GSE76688_peak124	0.9753498
BG4_G4Seq_HaCaT_GSE76688_peak125	0.19520311
BG4_G4Seq_HaCaT_GSE76688_peak126	0.8990036
BG4_G4Seq_HaCaT_GSE76688_peak127	0.12552488
BG4_G4Seq_HaCaT_GSE76688_peak128	0.03149374
BG4_G4Seq_HaCaT_GSE76688_peak129	0.6989558
BG4_G4Seq_HaCaT_GSE76688_peak130	0.9309677
BG4_G4Seq_HaCaT_GSE76688_peak131	0.4348858
BG4_G4Seq_HaCaT_GSE76688_peak132	0.01842146
BG4_G4Seq_HaCaT_GSE76688_peak133	0.0013680343
BG4_G4Seq_HaCaT_GSE76688_peak134	0.96451455
BG4_G4Seq_HaCaT_GSE76688_peak135	0.7148405
BG4_G4Seq_HaCaT_GSE76688_peak136	0.5895101
BG4_G4Seq_HaCaT_GSE76688_peak137	0.060483497
BG4_G4Seq_HaCaT_GSE76688_peak138	0.008934846
BG4_G4Seq_HaCaT_GSE76688_peak139	0.7089079
BG4_G4Seq_HaCaT_GSE76688_peak140	0.6967358
BG4_G4Seq_HaCaT_GSE76688_peak141	0.00012140636
BG4_G4Seq_HaCaT_GSE76688_peak142	0.5156817
BG4_G4Seq_HaCaT_GSE76688_peak143	0.3215985
BG4_G4Seq_HaCaT_GSE76688_peak144	0.719864
BG4_G4Seq_HaCaT_GSE76688_peak145	0.94956154
BG4_G4Seq_HaCaT_GSE76688_peak146	0.99221593
BG4_G4Seq_HaCaT_GSE76688_peak147	0.6375608
BG4_G4Seq_HaCaT_GSE76688_peak148	0.97563416
BG4_G4Seq_HaCaT_GSE76688_peak149	0.08520566
BG4_G4Seq_HaCaT_GSE76688_peak150	0.99843603
BG4_G4Seq_HaCaT_GSE76688_peak151	0.8239199
BG4_G4Seq_HaCaT_GSE76688_peak152	0.5069988
BG4_G4Seq_HaCaT_GSE76688_peak153	0.486832
BG4_G4Seq_HaCaT_GSE76688_peak154	0.7937617
BG4_G4Seq_HaCaT_GSE76688_peak155	0.554225
BG4_G4Seq_HaCaT_GSE76688_peak156	0.76073414
BG4_G4Seq_HaCaT_GSE76688_peak157	0.9826188
BG4_G4Seq_HaCaT_GSE76688_peak158	0.4371268
BG4_G4Seq_HaCaT_GSE76688_peak159	0.1194659
BG4_G4Seq_HaCaT_GSE76688_peak160	0.9805855
BG4_G4Seq_HaCaT_GSE76688_peak161	0.31531975
BG4_G4Seq_HaCaT_GSE76688_peak162	0.9652224
BG4_G4Seq_HaCaT_GSE76688_peak163	0.64213324
BG4_G4Seq_HaCaT_GSE76688_peak164	0.007699934
BG4_G4Seq_HaCaT_GSE76688_peak165	0.28152183
BG4_G4Seq_HaCaT_GSE76688_peak166	0.9936626
BG4_G4Seq_HaCaT_GSE76688_peak167	0.74220884
