Sequence ID	Score
BG4_G4Seq_HaCaT_GSE76688_peak1	0.16751502
BG4_G4Seq_HaCaT_GSE76688_peak2	0.54565096
BG4_G4Seq_HaCaT_GSE76688_peak3	0.36529443
BG4_G4Seq_HaCaT_GSE76688_peak4	0.8107959
BG4_G4Seq_HaCaT_GSE76688_peak5	0.8972744
BG4_G4Seq_HaCaT_GSE76688_peak6	0.99751794
BG4_G4Seq_HaCaT_GSE76688_peak7	0.9084068
BG4_G4Seq_HaCaT_GSE76688_peak8	0.94086295
BG4_G4Seq_HaCaT_GSE76688_peak9	0.48057744
BG4_G4Seq_HaCaT_GSE76688_peak10	0.9925292
BG4_G4Seq_HaCaT_GSE76688_peak11	0.99390703
BG4_G4Seq_HaCaT_GSE76688_peak12	0.31798017
BG4_G4Seq_HaCaT_GSE76688_peak13	0.06507216
BG4_G4Seq_HaCaT_GSE76688_peak14	0.3880147
BG4_G4Seq_HaCaT_GSE76688_peak15	0.91627616
BG4_G4Seq_HaCaT_GSE76688_peak16	0.6361528
BG4_G4Seq_HaCaT_GSE76688_peak17	0.3863501
BG4_G4Seq_HaCaT_GSE76688_peak18	0.0787066
BG4_G4Seq_HaCaT_GSE76688_peak19	0.25891003
BG4_G4Seq_HaCaT_GSE76688_peak20	0.97777575
BG4_G4Seq_HaCaT_GSE76688_peak21	0.81988984
BG4_G4Seq_HaCaT_GSE76688_peak22	0.9916917
BG4_G4Seq_HaCaT_GSE76688_peak23	0.8191096
BG4_G4Seq_HaCaT_GSE76688_peak24	0.6066042
BG4_G4Seq_HaCaT_GSE76688_peak25	0.23746668
BG4_G4Seq_HaCaT_GSE76688_peak26	0.8653428
BG4_G4Seq_HaCaT_GSE76688_peak27	0.21880093
BG4_G4Seq_HaCaT_GSE76688_peak28	0.9408197
BG4_G4Seq_HaCaT_GSE76688_peak29	0.84345716
BG4_G4Seq_HaCaT_GSE76688_peak30	0.16661249
BG4_G4Seq_HaCaT_GSE76688_peak31	0.43729612
BG4_G4Seq_HaCaT_GSE76688_peak32	0.75684136
BG4_G4Seq_HaCaT_GSE76688_peak33	0.7882796
BG4_G4Seq_HaCaT_GSE76688_peak34	0.47333536
BG4_G4Seq_HaCaT_GSE76688_peak35	0.6068591
BG4_G4Seq_HaCaT_GSE76688_peak36	0.6733606
BG4_G4Seq_HaCaT_GSE76688_peak37	0.03818071
BG4_G4Seq_HaCaT_GSE76688_peak38	0.40442976
BG4_G4Seq_HaCaT_GSE76688_peak39	0.6212612
BG4_G4Seq_HaCaT_GSE76688_peak40	0.22437072
BG4_G4Seq_HaCaT_GSE76688_peak41	0.8159351
BG4_G4Seq_HaCaT_GSE76688_peak42	0.85199213
BG4_G4Seq_HaCaT_GSE76688_peak43	0.3279101
BG4_G4Seq_HaCaT_GSE76688_peak44	0.04318053
BG4_G4Seq_HaCaT_GSE76688_peak45	0.053446136
BG4_G4Seq_HaCaT_GSE76688_peak46	0.2827306
BG4_G4Seq_HaCaT_GSE76688_peak47	0.82610047
BG4_G4Seq_HaCaT_GSE76688_peak48	0.019607324
BG4_G4Seq_HaCaT_GSE76688_peak49	0.018146561
BG4_G4Seq_HaCaT_GSE76688_peak50	0.93855244
BG4_G4Seq_HaCaT_GSE76688_peak51	0.95252895
BG4_G4Seq_HaCaT_GSE76688_peak52	0.42548463
BG4_G4Seq_HaCaT_GSE76688_peak53	0.4237425
BG4_G4Seq_HaCaT_GSE76688_peak54	0.73246413
BG4_G4Seq_HaCaT_GSE76688_peak55	0.08948467
BG4_G4Seq_HaCaT_GSE76688_peak56	0.7196628
BG4_G4Seq_HaCaT_GSE76688_peak57	0.19960953
BG4_G4Seq_HaCaT_GSE76688_peak58	0.051682856
BG4_G4Seq_HaCaT_GSE76688_peak59	0.2074546
BG4_G4Seq_HaCaT_GSE76688_peak60	0.7950034
BG4_G4Seq_HaCaT_GSE76688_peak61	0.0004547544
BG4_G4Seq_HaCaT_GSE76688_peak62	0.03027128
BG4_G4Seq_HaCaT_GSE76688_peak63	0.004329689
BG4_G4Seq_HaCaT_GSE76688_peak64	0.5738213
BG4_G4Seq_HaCaT_GSE76688_peak65	0.22349185
BG4_G4Seq_HaCaT_GSE76688_peak66	0.14633758
BG4_G4Seq_HaCaT_GSE76688_peak67	0.038037326
BG4_G4Seq_HaCaT_GSE76688_peak68	0.85575396
BG4_G4Seq_HaCaT_GSE76688_peak69	0.27861378
BG4_G4Seq_HaCaT_GSE76688_peak70	0.8243907
BG4_G4Seq_HaCaT_GSE76688_peak71	0.000757149
BG4_G4Seq_HaCaT_GSE76688_peak72	0.45729083
BG4_G4Seq_HaCaT_GSE76688_peak73	0.08615328
BG4_G4Seq_HaCaT_GSE76688_peak74	0.6031673
BG4_G4Seq_HaCaT_GSE76688_peak75	0.12820815
BG4_G4Seq_HaCaT_GSE76688_peak76	0.80505604
BG4_G4Seq_HaCaT_GSE76688_peak77	0.8127461
BG4_G4Seq_HaCaT_GSE76688_peak78	0.3749105
BG4_G4Seq_HaCaT_GSE76688_peak79	0.09097632
BG4_G4Seq_HaCaT_GSE76688_peak80	0.26725602
BG4_G4Seq_HaCaT_GSE76688_peak81	0.07419261
BG4_G4Seq_HaCaT_GSE76688_peak82	0.71417326
BG4_G4Seq_HaCaT_GSE76688_peak83	0.046563033
BG4_G4Seq_HaCaT_GSE76688_peak84	0.0844559
BG4_G4Seq_HaCaT_GSE76688_peak85	0.0071904375
BG4_G4Seq_HaCaT_GSE76688_peak86	0.07450502
BG4_G4Seq_HaCaT_GSE76688_peak87	0.26101032
BG4_G4Seq_HaCaT_GSE76688_peak88	0.9888431
BG4_G4Seq_HaCaT_GSE76688_peak89	0.3688168
BG4_G4Seq_HaCaT_GSE76688_peak90	0.15976599
BG4_G4Seq_HaCaT_GSE76688_peak91	0.14955269
BG4_G4Seq_HaCaT_GSE76688_peak92	0.58624077
BG4_G4Seq_HaCaT_GSE76688_peak93	0.47503623
BG4_G4Seq_HaCaT_GSE76688_peak94	0.98540884
BG4_G4Seq_HaCaT_GSE76688_peak95	0.80962354
BG4_G4Seq_HaCaT_GSE76688_peak96	0.099879086
BG4_G4Seq_HaCaT_GSE76688_peak97	0.32137436
BG4_G4Seq_HaCaT_GSE76688_peak98	0.5614302
